question,passage,seq_label
"['Siapakah', 'yang', 'membatalkan', 'kunjungan', 'Menteri', 'Luar', 'Negeri', 'Jepang', 'sebagai', 'balasan', 'atas', 'kunjungan', 'Perdana', 'Menteri', 'Junichiro', 'Koizumik', 'ke', 'Kuil', 'Yasukuni']","['Beijing', ',', 'Selasa', '-', 'Pemerintah', 'China', ',', 'Selasa', '(', '18/10', ')', ',', 'membatalkan', 'kunjungan', 'Menteri', 'Luar', 'Negeri', 'Jepang', 'Nobutaka', 'Machimura', 'yang', 'rencananya', 'dilakukan', 'akhir', 'pekan', 'ini', '.', 'Pembatalan', 'ini', 'merupakan', 'balasan', 'atas', 'kunjungan', 'kontroversial', 'Perdana', 'Menteri', 'Junichiro', 'Koizumi', 'ke', 'Kuil', 'Yasukuni', ',', 'Senin', '.']","['O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Berapa', 'ton', 'Indonesia', 'mengimpor', 'gandum', 'untuk', 'produksi', 'terigu', 'dari', 'negara', 'lain', 'per', 'tahun', '?']","['Ratna', 'menjelaskan', ',', 'impor', 'gandum', 'per', 'tahun', 'mencapai', '4,5', 'juta', 'ton', '.', 'Produksi', 'terigu', 'nasional', 'mencapai', '3,5', 'juta', 'ton', 'per', 'tahun', '.', 'Produsennya', 'terdiri', 'dari', 'PT', 'Bogasari', 'Flour', 'Mills', ',', 'PT', 'Sriboga', 'Ratu', 'Raya', ',', 'PT', 'Berdikari', ',', 'dan', 'PT', 'Pangan', 'Mas', '.', '(', 'OSA', '/', 'MAR', '/', 'FER', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Apakah', 'nama', 'suaka', 'margasatwa', 'di', 'pesisir', 'kepala', 'burung', ',', 'Sorong', 'dan', 'Manokwari', ',', 'yang', 'merupakan', 'pusat', 'peneluran', 'penyu', 'belimbing', 'terbesar', 'di', 'dunia']","['Suaka', 'Margasatwa', 'Jamursbamedi', 'di', 'pesisir', 'kepala', 'burung', ',', 'Sorong', 'dan', 'Manokwari', ',', 'merupakan', 'pusat', 'peneluran', 'penyu', 'belimbing', 'terbesar', 'di', 'dunia', '.', 'Habitat', 'peneluran', 'penyu', 'sepanjang', '17,5', 'kilometer', 'itu', 'meliputi', 'tiga', 'titik', 'peneluran', '.']","['O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Kemana', 'pesawat', 'Mandala', 'Airlines', 'RI', '-', '020', 'rute', 'Jakarta-Jambi', 'return', 'to', 'base', '/', 'RTB', '?']","['Kemarin', 'sekitar', 'pukul', '14.30', 'pesawat', 'Mandala', 'Airlines', 'RI', '-', '020', 'rute', 'Jakarta-Jambi', 'yang', 'sudah', 'mengudara', 'terpaksa', 'kembali', 'ke', 'Bandara', 'Soekarno-Hatta', '(', 'return', 'to', 'base', '/', 'RTB', ')', '.', 'Koordinator', 'Humas', 'Mandala', 'Airlines', 'Alexius', 'Widjojo', 'mengatakan', ',', 'pilot', 'memutuskan', 'kembali', 'ke', 'Bandara', 'Soekarno-Hatta', 'karena', 'salah', 'satu', 'indikator', 'landing', 'gear', 'pesawat', 'terus', 'menyala', '.', 'Setelah', 'mendarat', 'dan', 'dilakukan', 'pengecekan', ',', 'ternyata', 'tidak', 'ada', 'gangguan', '.', 'Pesawat', 'pun', 'kembali', 'diterbangkan', 'beberapa', 'saat', 'kemudian', ',', 'kata', 'Alexius', '.', '(', 'NEL', '/', 'OTW', ')']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Apakah', 'nama', 'klub', 'bulu', 'tangkis', 'terkuat', 'di', 'Amerika', 'Serikat', 'yang', 'dilatih', 'oleh', 'Tony', 'Gunawan', '?']","['Setelah', 'mundur', 'dari', 'Pelatnas', 'Cipayung', 'akhir', '2001', ',', 'Tony', 'hijrah', 'ke', 'AS', 'awal', '2002', 'untuk', 'studi', 'di', 'bidang', 'komputer', 'sambil', 'bekerja', 'melatih', 'bulu', 'tangkis', 'di', 'klub', 'Orange', 'County', 'yang', 'menjadi', 'klub', 'terkuat', 'AS', '.', 'Tak', 'lama', ',', 'Asosiasi', 'Bulu', 'Tangkis', 'AS', 'pun', 'meminta', 'Tony', 'bermain', 'untuk', 'AS', 'dalam', 'rangka', 'membangun', 'badminton', 'di', 'AS', '.', 'Niat', 'itu', 'direstui', 'PB', 'PBSI', '.', 'Kini', 'AS', 'juga', 'menjadi', 'negara', 'kedelapan', 'yang', 'bisa', 'memiliki', 'juara', 'dunia', 'setelah', 'China', ',', 'Indonesia', ',', 'Korea', 'Selatan', ',', 'Denmark', ',', 'Inggris', ',', 'Swedia', ',', 'dan', 'Jepang', '.', 'Bahkan', ',', 'kekuatan', 'tradisional', 'bulu', 'tangkis', 'Malaysia', 'belum', 'pernah', 'bisa', 'menempatkan', 'satu', 'pun', 'pemainnya', 'menjadi', 'juara', 'dunia', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Partai', 'apakah', 'yang', 'mencalonkan', 'Noaman', 'Gomaa', 'pada', 'pemilu', 'pertama', 'multikandidat', 'di', 'Mesir', 'tahun', '2005']","['Pemilu', 'pertama', 'multikandidat', 'ini', 'diikuti', '10', 'kandidat', ',', 'yaitu', 'Ibrahim', 'Tork', 'dari', 'Partai', 'Uni', 'Demokrasi', ',', 'Noaman', 'Gomaa', 'dari', 'Partai', 'Wafd', ',', 'Muhammad', 'Hosni', 'Mubarak', 'dari', 'Partai', 'Nasional', 'Demokrasi', ',', 'Ayman', 'Nour', 'dari', 'Partai', 'Al', 'Ghad', ',', 'Osama', 'Shaltout', 'dari', 'Partai', 'Solidaritas', ',', 'Fawzi', 'Ghazal', 'dari', 'Partai', 'Mesir', '2000', ',', 'Ahmed', 'Al', 'Sabahi', 'dari', 'Partai', 'Ummah', ',', 'Mamdouh', 'Qenawi', 'dari', 'Partai', 'Konstitusi', 'Sosialis', ',', 'Refaat', 'Al', 'Agroudy', 'dari', 'Partai', 'Kesepakatan', ',', 'dan', 'Wahid', 'Al', 'Uksory', 'dari', 'Partai', 'Arab', 'Sosialis', 'Mesir', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Berapa', 'hektar', 'luas', 'Taman', 'Nasional', 'Sebangau', '?']","['Taman', 'Nasional', 'Sebangau', 'luasnya', 'sekitar', '568.700', 'hektar', ',', 'terletak', 'di', 'Kabupaten', 'Katingan', ',', 'Kabupaten', 'Pulang', 'Pisau', ',', 'dan', 'Kota', 'Palangkaraya', '.', 'Taman', 'nasional', 'tersebut', 'tergolong', 'unik', 'karena', 'merupakan', 'ekosistem', 'rawa', 'gambut', 'dengan', 'ketebalan', 'gambut', 'tiga', 'hingga', '10', 'meter', '.']","['O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Jalan', 'tol', 'mana', 'saja', 'yang', 'tidak', 'dikenai', 'tarif', 'baru', 'jalan', 'tol', '?']","['Kenaikan', 'tarif', 'berlaku', 'hampir', 'di', 'semua', 'ruas', 'jalan', 'tol', 'di', 'seluruh', 'Indonesia', ',', 'kecuali', 'jalan', 'tol', 'lingkar', 'luar', 'Jakarta', ',', 'Sedyatmo', '(', 'arah', 'Bandara', 'Soekarno-Hatta', ')', ',', 'Cikampek-Purwakarta-Padalarang', '(', 'Cipularang', ')', ',', 'dan', 'Pondok', 'Aren-Ulujami', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'O', 'B', 'O', 'B', 'I', 'I', 'O', 'O', 'B', 'O', 'B', 'O', 'O', 'O', 'B', 'I', 'O']"
"['Presiden', 'Direktur', 'perusahaan', 'apakah', 'Yue', 'Shao', 'Dong', '?']","['Sichuan', ',', 'Kompas', '-', 'Pemerintah', 'Indonesia', 'dan', 'China', ',', 'Sinopec', 'Southwest', 'Petroleum', 'Biro', 'bersama', 'dengan', 'PT', 'Indelberg', 'Indonesia', ',', 'mengembangkan', 'sejumlah', 'lapangan', 'minyak', 'marjinal', 'di', 'Sumatera', 'Selatan', '.', 'Kerja', 'sama', 'itu', 'juga', 'akan', 'dilakukan', 'untuk', 'lapangan', 'gas', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Siapa', 'nama', 'Perwakilan', 'Direktur', 'Jenderal', 'untuk', 'Pemberantasan', 'Polio', 'dari', 'WHO', 'Geneva', ',', 'Swiss', ',', 'di', 'Jakarta']","['Pemerintah', 'harus', 'bekerja', 'keras', 'agar', 'semua', 'anak', 'diimunisasi', 'polio', 'di', 'layanan', 'kesehatan', 'terdekat', ',', 'kata', 'Dr', 'David', 'L', 'Heymann', ',', 'Perwakilan', 'Direktur', 'Jenderal', 'untuk', 'Pemberantasan', 'Polio', 'dari', 'WHO', 'Geneva', ',', 'Swiss', ',', 'di', 'Jakarta', ',', 'Rabu', '(', '24/8', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Pada', 'tahun', 'berapakah', ',', 'SEA', 'Games', 'terakhir', 'diadakan', 'di', 'Vietnam']","['Emas', 'kedua', 'tim', 'Indonesia', 'dipersembahkan', 'Donny', 'B', 'Utomo', 'dari', 'nomor', '200', 'meter', 'gaya', 'kupu', '-', 'kupu', 'senior', 'putra', '.', 'Peraih', 'emas', 'SEA', 'Games', 'Vietnam', '2003', 'ini', 'mencetak', 'catatan', 'waktu', 'dua', 'menit', '3', ',', '18', 'detik', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Siapa', 'Menteri', 'Luar', 'Negeri', 'Korea', 'Selatan', '?']","['Washington', ',', 'senin', '-', 'Menteri', 'Luar', 'Negeri', 'Korea', 'Selatan', 'Ban', 'Ki-Moon', ',', 'Minggu', '(', '21/8', ')', 'waktu', 'Washington', ',', 'menyatakan', 'optimistis', 'babak', 'baru', 'perundingan', 'enam', 'negara', 'untuk', 'mengakhiri', 'ambisi', 'nuklir', 'Korea', 'Utara', 'akan', 'membuahkan', 'hasil', 'positif', '.', 'Ban', 'juga', 'mengatakan', ',', 'tak', 'ada', 'perbedaan', 'pandangan', 'antara', 'Korea', 'Selatan', 'dan', 'Amerika', 'Serikat', 'soal', 'masa', 'depan', 'program', 'nuklir', 'Korea', 'Utara', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Pada', 'tahun', 'berapa', 'debut', 'naskah', 'drama', 'Harold', 'Pinter', 'berjudul', 'The', 'Room', 'dipentaskan', 'pertama', 'kali', 'di', 'Bristol', ',', 'Inggris', '?']","['Debut', 'naskah', 'dramanya', 'berjudul', 'The', 'Room', 'yang', 'dipentaskan', 'pertama', 'kali', 'di', 'Bristol', ',', 'Inggris', ',', 'tahun', '1957', '.', 'Hanya', 'dalam', 'waktu', 'tiga', 'tahun', ',', 'gaya', 'dan', 'istilah', '""', 'pinteresque', '""', 'telah', 'dikenal', 'luas', 'di', 'seluruh', 'Inggris', 'bersamaan', 'dengan', 'tampilnya', 'beberapa', 'mahakarya', 'Pinter', ',', 'yakni', 'The', 'Birthday', 'Party', ',', 'The', 'Caretaker', ',', 'The', 'Homecoming', ',', 'dan', 'The', 'Bretayal', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Berapa', 'tim', 'peneliti', 'yang', 'berhasil', 'menemukan', 'bukti-bukti', 'yang', 'mengarah', 'pada', 'pemenuhan', 'kriteria', 'Warisan', 'Alam', 'Dunia', 'versi', 'Badan', 'PBB', 'untuk', 'Ilmu', 'Pendidikan', ',', 'Ilmu', 'Pengetahuan', ',', 'dan', 'Budaya', '(', 'UNESCO', ')', '?']","['Delapan', 'tim', 'peneliti', 'sejak', 'tahun', '2003', 'berhasil', 'menemukan', 'bukti-bukti', 'yang', 'mengarah', 'pada', 'pemenuhan', 'kriteria', 'Warisan', 'Alam', 'Dunia', 'versi', 'Badan', 'PBB', 'untuk', 'Ilmu', 'Pendidikan', ',', 'Ilmu', 'Pengetahuan', ',', 'dan', 'Budaya', '(', 'UNESCO', ')', '.', 'Di', 'antaranya', 'flora', 'dan', 'fauna', 'yang', 'terancam', 'punah', ',', 'serta', 'nilai', 'universal', 'luar', 'biasa', 'dari', 'segi', 'konservasi', ',', 'keilmuan', ',', 'dan', 'estetika', '.', '""', 'Muller', 'sangat', 'cocok', 'dan', 'layak', 'menjadi', 'Warisan', 'Alam', 'Dunia', '.', 'Bahkan', ',', 'Warisan', 'Budaya', 'Dunia', ',', '""', 'kata', 'Deputi', 'Ilmu', 'Pengetahuan', 'Hayati', 'LIPI', 'Dr', 'Endang', 'Sukara', 'APU', 'dalam', 'jumpa', 'pers', 'di', 'Jakarta', ',', 'Kamis', '(', '13/10', ')', '.']","['B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
